GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US06,06,California,12617280,20413,61489,154,67.4,0.1,64405,206,6.5,0.1,43476,481,0.7,0.1,45319,1536,12.7,0.1,77932,570,0.3,0.1,60087,2481,9.4,0.1,44969,247,3.0,0.1,58769,904,28.0,0.1,47206,197,50.3,0.1,72061,239,3.5,0.1,29452,454,35.6,0.1,64546,320,39.9,0.1,73775,302,21.0,0.1,44204,190,8666286,22818,70187,250,47.1,0.1,63605,415,52.9,0.1,75244,243,71.5,0.2,85968,279,19.8,0.1,36766,215,8.7,0.1,48216,485,3950994,11133,40639,170,52.8,0.2,35184,222,42.5,0.2,30219,185,10.2,0.1,65098,818,47.2,0.2,47118,358,34.4,0.1,39742,383,12.8,0.1,71780,706,30.8,(X),(X),(X),31.3,(X),(X),(X),26.8,(X),(X),(X)
8600000US89010,89010,ZCTA5 89010,172,44,35000,12562,78.5,12.8,40250,14908,0.0,15.9,-,**,11.0,10.0,-,**,0.0,15.9,-,**,0.0,15.9,-,**,7.6,8.5,-,**,2.9,4.3,-,**,24.4,13.3,33000,23679,61.6,13.9,42000,14778,4.1,7.1,-,**,22.1,11.8,26607,5246,37.8,13.3,55521,21189,36.0,14.0,36429,16382,111,38,40750,15841,26.1,16.2,33250,14163,73.9,16.2,44583,22492,75.7,15.9,48750,19482,10.8,13.4,-,**,13.5,10.8,33250,34716,61,31,28250,16533,49.2,25.8,48500,64137,49.2,25.8,48500,64137,0.0,36.3,-,**,50.8,25.8,24688,11504,50.8,25.8,24688,11504,0.0,36.3,-,**,32.6,(X),(X),(X),35.1,(X),(X),(X),27.9,(X),(X),(X)
8600000US89019,89019,ZCTA5 89019,914,269,37632,10735,88.3,6.8,38220,9559,4.5,4.4,21602,10461,0.0,3.2,-,**,7.2,5.4,33618,1002,0.0,3.2,-,**,0.0,3.2,-,**,0.0,3.2,-,**,12.8,7.9,23772,3578,75.5,10.8,39040,9655,4.3,4.7,-,**,6.7,5.3,24856,4738,55.1,15.1,39420,32556,33.9,13.6,21818,22190,509,247,39541,35526,20.8,17.4,34839,167101,79.2,17.4,39577,35757,60.5,29.5,72778,30365,30.8,31.5,38581,784,8.6,10.7,-,**,405,142,21318,5780,40.2,21.0,17768,10579,30.6,18.6,22917,10080,9.6,15.0,-,**,59.8,21.0,22162,11141,47.2,16.1,20845,6087,12.6,14.1,78229,6639,50.2,(X),(X),(X),62.9,(X),(X),(X),31.9,(X),(X),(X)
8600000US89060,89060,ZCTA5 89060,4076,353,40726,3291,89.7,3.9,40540,3399,4.9,3.0,46111,49079,0.0,0.7,-,**,0.4,0.7,-,**,0.0,0.7,-,**,3.7,2.3,31774,27876,1.3,1.4,40813,7446,13.2,3.7,27068,6296,80.5,4.4,41424,1765,1.4,1.3,26094,13415,17.1,4.1,30524,20825,42.1,5.0,45268,7406,39.4,4.4,35955,7106,2533,280,45493,5007,34.8,5.7,40049,27268,65.2,5.7,53664,16387,79.2,6.7,48872,14552,12.8,6.1,23221,9899,8.0,3.9,45854,25768,1543,303,24986,5129,57.0,9.6,23207,4642,48.7,10.1,21464,4284,8.4,4.7,44688,26409,43.0,9.6,36595,19598,34.9,9.4,38795,22931,8.0,6.0,25000,32610,35.4,(X),(X),(X),38.8,(X),(X),(X),28.9,(X),(X),(X)
8600000US89061,89061,ZCTA5 89061,2123,235,55096,9069,79.3,7.5,55077,9010,4.3,3.5,27557,29593,0.0,1.4,-,**,10.9,6.2,158243,132404,0.0,1.4,-,**,2.5,2.9,-,**,3.0,3.1,26969,5777,13.6,5.3,42992,18440,68.6,8.1,57647,13255,1.0,1.7,-,**,19.7,7.3,125125,78289,42.2,7.4,47071,17431,37.1,7.2,52089,7661,1453,210,62139,13992,20.6,7.0,51838,17389,79.4,7.0,68413,12988,86.8,6.8,61361,12253,11.1,6.2,52279,154855,2.1,2.7,-,**,670,211,41765,18185,51.5,16.0,27079,11916,39.0,17.6,26961,18881,12.5,9.5,27279,17918,48.5,16.0,68854,76401,42.5,16.2,69271,121377,6.0,7.2,-,**,34.0,(X),(X),(X),40.3,(X),(X),(X),20.3,(X),(X),(X)
8600000US89439,89439,ZCTA5 89439,745,97,59275,17162,97.9,3.6,58875,17956,0.0,3.9,-,**,0.0,3.9,-,**,0.0,3.9,-,**,0.0,3.9,-,**,2.1,3.6,-,**,0.0,3.9,-,**,11.1,10.9,82839,30233,88.9,10.9,58150,18024,0.0,3.9,-,**,22.7,13.9,62708,67313,57.9,14.4,67171,30662,19.5,9.7,33750,7083,505,114,82839,26217,22.0,14.4,64931,25288,78.0,14.4,83854,18992,86.3,10.5,84635,25071,6.5,6.6,40987,23257,7.1,7.9,-,**,240,116,39375,10729,54.2,29.8,38438,9976,31.3,22.4,32132,4028,22.9,27.3,-,**,45.8,29.8,57833,64575,14.2,20.9,-,**,31.7,27.9,58778,15591,23.1,(X),(X),(X),22.8,(X),(X),(X),23.8,(X),(X),(X)
8600000US90001,90001,ZCTA5 90001,13325,291,34050,1069,45.8,2.8,37224,1662,15.8,1.3,25722,4936,0.3,0.2,53500,38135,0.2,0.2,20250,22858,0.0,0.3,-,**,36.6,3.0,33002,1728,1.3,0.6,23750,23701,83.2,1.3,35338,1217,0.5,0.4,11103,18589,4.3,1.2,24803,6306,44.2,2.0,32963,1562,38.2,2.2,37984,3011,13.2,1.6,25846,5037,11284,369,33583,1375,57.9,2.3,27910,1958,42.1,2.3,40676,2610,49.2,2.5,40324,3035,32.6,2.3,24529,2987,18.1,1.9,28139,3162,2041,277,21052,2442,52.7,6.5,13342,2417,44.3,6.5,12250,1481,8.4,3.3,34063,5113,47.3,6.5,28219,5946,35.5,5.8,25030,4735,11.8,4.2,39875,13079,46.8,(X),(X),(X),45.6,(X),(X),(X),38.3,(X),(X),(X)
8600000US90002,90002,ZCTA5 90002,11888,312,30214,2859,39.7,2.6,37977,2872,35.2,1.9,21610,2454,0.7,0.5,37589,30275,0.6,0.3,18387,1208,0.2,0.1,-,**,22.8,2.4,35257,4160,0.9,0.4,19250,12125,63.1,2.1,37207,2638,1.0,0.6,21063,13647,3.1,1.0,15188,11199,41.1,2.4,30279,4590,40.0,2.5,36865,3990,15.8,1.5,21498,2854,9741,339,33372,3021,61.6,2.6,27410,2941,38.4,2.6,40361,2423,47.1,3.1,41034,2600,38.4,3.4,23397,2693,14.5,1.9,33390,3859,2147,242,12917,1989,53.1,6.1,12357,2160,48.8,6.3,12160,986,4.3,2.4,22273,8433,46.9,6.1,13765,4079,36.8,6.5,11957,1372,10.1,3.9,37798,14152,45.0,(X),(X),(X),42.4,(X),(X),(X),46.2,(X),(X),(X)
8600000US90003,90003,ZCTA5 90003,15891,330,30016,1594,17.9,1.7,38099,2843,37.7,2.0,20616,1738,1.0,0.5,52381,16581,0.4,0.3,47900,60069,0.1,0.1,-,**,41.2,2.0,34573,2805,1.7,0.6,38500,9616,60.5,2.0,36050,1591,0.8,0.4,32143,13484,3.7,1.0,18629,5659,45.1,2.2,28872,2888,38.6,2.3,35233,2224,12.6,1.2,24735,4864,12753,412,30933,1425,63.9,2.4,27086,1732,36.1,2.4,38211,2601,43.7,2.8,38848,1879,39.4,2.3,20917,1892,16.9,2.0,29306,5662,3138,270,16139,2024,50.0,5.6,13914,2030,44.4,5.8,13018,1667,5.6,2.6,34250,14825,50.0,5.6,20479,4617,39.3,5.5,15598,4295,10.8,3.5,30530,11127,41.9,(X),(X),(X),40.0,(X),(X),(X),35.5,(X),(X),(X)
8600000US90004,90004,ZCTA5 90004,22765,371,38493,2107,38.2,1.7,48589,4947,5.5,1.0,27619,4591,0.3,0.3,31250,51389,27.2,1.5,40511,3814,0.3,0.3,37424,82327,25.5,1.5,31737,1993,3.0,0.7,47212,19309,40.8,1.5,32116,1815,24.2,1.4,62151,9682,4.6,0.7,27333,6952,44.0,1.6,39295,3102,37.8,1.7,41280,3250,13.6,1.1,31484,5751,13456,473,40625,1830,47.4,2.5,33969,3223,52.6,2.5,46008,2010,62.4,2.6,48651,2984,26.9,2.6,26561,3272,10.8,1.7,28202,3485,9309,480,31732,2713,46.4,3.1,30089,3414,35.1,3.2,25890,2462,11.3,2.1,47917,13403,53.6,3.1,34040,5588,36.3,2.9,26237,2736,17.2,2.5,53007,6532,28.3,(X),(X),(X),31.8,(X),(X),(X),20.8,(X),(X),(X)
8600000US90005,90005,ZCTA5 90005,15408,358,31214,1052,22.3,2.1,33185,4331,7.0,1.3,30549,6910,0.7,0.4,30000,11904,38.5,2.2,32124,3071,0.1,0.1,-,**,29.9,2.0,30162,1806,1.6,0.6,37153,18314,40.5,2.1,30119,1708,12.9,1.5,37438,6492,6.7,1.3,24972,4633,46.4,2.1,34817,1777,31.2,2.2,32607,2840,15.8,1.4,16547,1653,8173,361,32468,2468,47.3,3.1,26494,3961,52.7,3.1,38979,2205,50.9,3.8,36737,2525,28.7,2.7,24201,3967,20.4,2.6,34219,4283,7235,363,25987,1570,52.7,3.6,23358,2538,44.1,3.8,19259,3050,8.6,2.2,32403,9865,47.3,3.6,30664,3559,34.2,3.3,23077,4813,13.1,2.6,42092,9397,17.4,(X),(X),(X),18.2,(X),(X),(X),15.9,(X),(X),(X)
8600000US90006,90006,ZCTA5 90006,19026,291,31403,708,18.1,1.3,30826,1867,4.8,0.9,23824,6617,0.6,0.3,26000,11966,25.4,1.5,32372,3256,0.5,0.4,22857,2563,48.7,1.9,31781,813,2.0,0.5,23860,5572,64.1,1.5,31341,728,4.6,0.7,43125,18872,6.1,1.0,31931,2486,44.1,1.8,32926,1427,36.4,1.9,32497,1525,13.3,1.3,18552,2322,12720,342,31669,1007,49.3,2.0,26663,2408,50.7,2.0,37011,2899,49.5,2.4,36960,2518,29.6,2.5,23122,1820,20.9,2.3,30210,3601,6306,324,22988,1688,45.1,2.9,19494,2483,35.0,2.6,13170,2630,10.1,2.2,35357,4456,54.9,2.9,27030,3405,35.5,3.1,20053,1584,19.4,2.6,42708,4667,20.6,(X),(X),(X),20.6,(X),(X),(X),17.0,(X),(X),(X)
8600000US90007,90007,ZCTA5 90007,11617,264,22646,1264,25.5,1.7,21822,1970,14.7,1.7,19911,5005,0.5,0.3,23750,26484,20.2,1.8,11395,1918,0.5,0.4,4637,37589,36.7,2.0,31274,4175,1.9,0.6,11161,3175,48.7,1.7,30000,3791,14.7,1.5,18438,6661,24.4,1.7,7316,1648,36.3,2.0,30522,3093,25.9,2.0,33125,2871,13.4,1.5,17281,2093,5825,261,29980,3187,48.8,3.5,25393,3368,51.2,3.5,36301,3520,52.0,3.9,40307,5347,33.4,3.9,18323,3190,14.6,2.7,25227,5651,5792,246,12811,1751,47.6,3.9,12215,1467,25.7,3.1,10925,794,21.9,3.4,21379,3115,52.4,3.9,13868,2922,27.2,3.2,12645,3181,25.2,3.1,15536,4798,33.1,(X),(X),(X),31.7,(X),(X),(X),32.4,(X),(X),(X)
8600000US90008,90008,ZCTA5 90008,14281,376,36180,3478,8.6,1.7,34122,7696,76.1,2.3,38529,5079,0.2,0.2,-,**,3.9,1.2,29176,11714,0.0,0.2,-,**,7.3,1.4,26875,3146,4.0,1.2,45506,19540,14.4,1.8,27249,3342,2.4,0.9,75673,47904,1.0,0.7,25257,25426,28.8,2.5,33118,6356,42.6,2.6,46439,5200,27.6,1.9,29011,4275,7519,494,50598,4262,43.2,4.0,35330,10271,56.8,4.0,66653,6764,47.2,4.0,69125,9277,42.9,4.1,37526,7613,9.9,2.3,32481,32872,6762,448,20365,4503,65.8,4.4,19630,4833,61.7,4.3,18585,2539,4.1,1.7,41000,53793,34.2,4.4,21759,8763,29.5,4.1,20174,5483,4.7,1.9,68977,60722,35.5,(X),(X),(X),40.7,(X),(X),(X),28.4,(X),(X),(X)
8600000US90010,90010,ZCTA5 90010,2170,259,47308,13522,18.9,4.3,55329,13900,2.2,1.8,100526,165015,0.5,0.7,-,**,74.2,5.1,47794,17784,0.0,1.6,-,**,3.9,1.8,31047,13801,0.3,0.4,-,**,7.0,2.5,31791,5979,16.2,4.2,57171,13592,6.5,4.0,36827,18561,45.5,7.8,56402,15166,28.8,7.0,63655,12056,19.3,4.5,18750,13254,888,176,68306,11024,19.7,7.5,72625,22238,80.3,7.5,64403,15367,75.6,10.3,70875,11562,10.7,6.5,97303,36569,13.7,8.6,11466,62621,1282,216,35283,9046,45.2,9.2,19639,10483,43.3,9.3,18972,8383,1.9,1.8,106136,48853,54.8,9.2,43079,6344,42.7,8.5,42957,6144,12.2,6.4,45385,38185,21.3,(X),(X),(X),24.2,(X),(X),(X),19.3,(X),(X),(X)
8600000US90011,90011,ZCTA5 90011,22242,318,29889,1243,26.7,1.6,36114,2610,14.1,1.1,20248,2430,0.7,0.3,35938,19942,1.1,0.3,25644,7997,0.1,0.1,-,**,56.2,1.7,29403,1632,1.1,0.4,31250,23098,83.6,1.2,31228,1227,0.4,0.2,52875,29428,5.2,0.9,31453,8598,47.8,2.1,28155,2019,37.3,1.8,32418,2384,9.7,0.9,22795,4797,18959,368,27471,1997,62.5,2.0,23280,2239,37.5,2.0,35712,1521,45.0,2.2,36107,1855,38.5,1.8,19380,2440,16.5,1.6,23902,4052,3283,254,17136,1981,48.1,4.5,15106,2031,34.7,4.3,12196,1201,13.4,3.2,27212,11601,51.9,4.5,21125,3818,35.5,4.6,14982,2549,16.4,3.5,37763,7924,33.9,(X),(X),(X),31.6,(X),(X),(X),28.4,(X),(X),(X)
8600000US90012,90012,ZCTA5 90012,10101,378,29492,2783,28.4,3.5,57420,6709,4.8,1.7,34136,20887,0.4,0.4,43929,51780,55.8,3.4,19431,1516,0.7,0.5,25595,13946,7.7,1.9,28824,11633,2.4,0.8,79286,50916,16.5,2.4,26179,6096,20.5,3.2,67192,11758,6.8,1.4,26050,16112,40.6,2.6,55656,4413,23.7,2.3,32170,2938,28.9,2.3,12087,362,4247,284,30922,5078,31.9,3.4,22684,4918,68.1,3.4,39682,7336,65.8,4.8,38904,5385,21.1,3.9,17033,5048,13.1,3.0,38500,19172,5854,375,24906,4102,50.9,4.1,12731,3833,41.6,4.0,12033,551,9.3,2.2,54323,20521,49.1,4.1,47543,17683,39.9,3.9,32363,5643,9.2,2.4,105441,29932,23.4,(X),(X),(X),26.6,(X),(X),(X),20.8,(X),(X),(X)
8600000US90013,90013,ZCTA5 90013,5872,393,21120,2581,34.4,4.2,55378,17779,27.6,4.6,12096,1412,1.7,1.4,6250,12459,20.6,3.2,23732,7273,0.0,0.6,-,**,7.7,2.6,18958,8318,8.0,2.9,19489,32103,16.5,3.7,14552,7868,28.5,4.4,59702,11314,5.0,2.4,20380,4969,47.7,4.8,45855,16460,33.1,4.3,11450,590,14.2,2.3,12436,1429,825,237,25139,30004,29.6,17.5,21111,1141,70.4,17.5,78405,56683,69.6,16.9,80962,13731,9.6,5.2,18368,6616,20.8,17.5,21706,4129,5047,398,17583,4283,40.0,5.6,14582,3382,37.7,5.4,13975,1616,2.3,1.6,95795,126742,60.0,5.6,20953,10716,50.1,6.1,14375,6503,9.9,3.3,88859,41119,19.6,(X),(X),(X),17.7,(X),(X),(X),19.9,(X),(X),(X)
8600000US90014,90014,ZCTA5 90014,4677,374,17134,4522,49.2,6.3,41576,6000,19.2,5.0,8958,5198,1.4,1.2,11250,34137,17.7,3.6,11472,487,0.7,1.1,-,**,7.8,3.2,16162,7541,4.0,2.2,18866,5037,17.6,4.6,17656,11183,41.4,6.3,44209,9320,2.7,1.5,21181,30900,44.6,5.8,46983,15673,28.8,4.9,10960,2453,23.9,4.0,11198,347,497,156,78393,36996,10.1,6.8,31250,193938,89.9,6.8,80087,34499,81.5,12.8,78036,33229,5.6,6.4,18438,1713,12.9,10.6,169583,118468,4180,401,13504,4364,38.0,5.9,12072,3500,32.2,5.7,11503,698,5.9,3.6,44832,83292,62.0,5.9,15258,5823,53.2,6.6,13141,3554,8.8,4.0,53555,45042,16.7,(X),(X),(X),11.1,(X),(X),(X),17.3,(X),(X),(X)
