Region,CalYr,VehClass,MdlYr,Speed,Fuel,VMT,ROG_RUNEX,TOG_RUNEX,CO_RUNEX,NOx_RUNEX,CO2_RUNEX,PM10_RUNEX,PM2_5_RUNEX
Lake,2016,All Other Buses,1980,5,DSL,0.00762252556132,1.20698343694e-07,1.37405876582e-07,1.17169878983e-07,2.56903162686e-07,2.18253685231e-05,3.1189821745e-08,2.98405638627e-08
Lake,2016,All Other Buses,1980,10,DSL,0.0379420607336,4.85938339997e-07,5.53203809834e-07,5.45274795086e-07,1.12529641998e-06,9.86441909758e-05,1.36251582416e-07,1.30357399273e-07
Lake,2016,All Other Buses,1980,15,DSL,0.0512086127827,3.96161801421e-07,4.51000054571e-07,6.40302790089e-07,1.19667596898e-06,0.000109315720349,1.41130637562e-07,1.35025388653e-07
Lake,2016,All Other Buses,1980,20,DSL,0.0543085948717,2.15914569193e-07,2.45802301331e-07,5.87286110771e-07,1.06222192367e-06,9.51370557213e-05,1.16377209705e-07,1.11342783128e-07
Lake,2016,All Other Buses,1980,25,DSL,0.0565602477458,1.61986511971e-07,1.84409313257e-07,5.26091114365e-07,1.0051481977e-06,8.8872052079e-05,1.05828758603e-07,1.01250653351e-07
Lake,2016,All Other Buses,1980,30,DSL,0.0680091156337,1.70234870539e-07,1.93799441611e-07,5.417936205e-07,1.12523470056e-06,0.000100305622713,1.15198572538e-07,1.10215133284e-07
Lake,2016,All Other Buses,1980,35,DSL,0.0801917044982,1.76795691673e-07,2.01268437054e-07,5.46028536278e-07,1.25003177207e-06,0.000111858453058,1.23837137241e-07,1.18479997501e-07
Lake,2016,All Other Buses,1980,40,DSL,0.0995455174985,1.95965105512e-07,2.2309135551e-07,5.80260108939e-07,1.48231502588e-06,0.000132524001653,1.41579854976e-07,1.35455173121e-07
Lake,2016,All Other Buses,1980,45,DSL,0.0815145792531,1.46312401158e-07,1.6656553123e-07,4.09744830123e-07,1.17563469988e-06,0.000104672236839,1.08240436428e-07,1.03558003061e-07
Lake,2016,All Other Buses,1980,50,DSL,0.0912280703033,1.53595084846e-07,1.74856312242e-07,4.0155809067e-07,1.30023541749e-06,0.000114335523836,1.15045362719e-07,1.10068551254e-07
Lake,2016,All Other Buses,1980,55,DSL,0.133686470052,2.1854315164e-07,2.48794742355e-07,5.28628716181e-07,1.9183639055e-06,0.000165623307746,1.63349766795e-07,1.56283328191e-07
Lake,2016,All Other Buses,1980,60,DSL,0.160646697096,2.62447397849e-07,2.98776384617e-07,6.09988091341e-07,2.32805953751e-06,0.00019885546488,1.94807455115e-07,1.86380170839e-07
Lake,2016,All Other Buses,1980,65,DSL,0.025281222569,4.13017584402e-08,4.70189080411e-08,9.59947822171e-08,3.65275652751e-07,3.12941962553e-05,3.06571546124e-08,2.93309396745e-08
Lake,2016,All Other Buses,1980,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1980,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1980,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1980,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1980,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1981,5,DSL,0.00852973404485,1.35063472478e-07,1.53759482211e-07,1.31115061242e-07,2.87478951086e-07,2.44229537094e-05,3.49019340442e-08,3.3392091827e-08
Lake,2016,All Other Buses,1981,10,DSL,0.0424578028067,5.43773158782e-07,6.1904434856e-07,6.10171647971e-07,1.25922558171e-06,0.000110384505414,1.52467807664e-07,1.45872117796e-07
Lake,2016,All Other Buses,1981,15,DSL,0.0573032972246,4.43311705243e-07,5.04676630961e-07,7.16509569394e-07,1.33910049512e-06,0.000122326125901,1.57927552266e-07,1.51095676263e-07
Lake,2016,All Other Buses,1981,20,DSL,0.0607722292144,2.41612026986e-07,2.75056900905e-07,6.57183015369e-07,1.18864416165e-06,0.000106459962198,1.30228051015e-07,1.24594443175e-07
Lake,2016,All Other Buses,1981,25,DSL,0.0632918665739,1.81265625789e-07,2.06357116788e-07,5.88704787252e-07,1.12477770433e-06,9.94493179664e-05,1.18424157179e-07,1.13301180561e-07
Lake,2016,All Other Buses,1981,30,DSL,0.0761033419061,1.90495677473e-07,2.16864828027e-07,6.06276155179e-07,1.25915651665e-06,0.000112243675415,1.28909136243e-07,1.23332584071e-07
Lake,2016,All Other Buses,1981,35,DSL,0.0897358633266,1.97837346444e-07,2.25222759292e-07,6.11015097015e-07,1.39880653435e-06,0.000125171486481,1.38575835141e-07,1.32581105854e-07
Lake,2016,All Other Buses,1981,40,DSL,0.111393104922,2.19288242282e-07,2.49642971335e-07,6.4932080139e-07,1.65873539416e-06,0.000148296582225,1.58430234092e-07,1.51576612296e-07
Lake,2016,All Other Buses,1981,45,DSL,0.0912161823813,1.63726032704e-07,1.86389625197e-07,4.58511342348e-07,1.31555496183e-06,0.000117129989914,1.21122865145e-07,1.15883143615e-07
Lake,2016,All Other Buses,1981,50,DSL,0.102085741904,1.71875477989e-07,1.95667148308e-07,4.49350243489e-07,1.45498525622e-06,0.000127943370259,1.28737691884e-07,1.2316855632e-07
Lake,2016,All Other Buses,1981,55,DSL,0.149597403875,2.44553454864e-07,2.78405492639e-07,5.91544406276e-07,2.1466814094e-06,0.000185335261304,1.82791130819e-07,1.74883667413e-07
Lake,2016,All Other Buses,1981,60,DSL,0.179766350456,2.93683043292e-07,3.34335789256e-07,6.82586912673e-07,2.60513769823e-06,0.000222522602928,2.17992812056e-07,2.08562539503e-07
Lake,2016,All Other Buses,1981,65,DSL,0.0282901123923,4.62173609318e-08,5.26149472958e-08,1.07419772544e-07,4.08749586467e-07,3.50187308731e-05,3.43058705822e-08,3.28218138065e-08
Lake,2016,All Other Buses,1981,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1981,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1981,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1981,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1981,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1987,5,DSL,0.0123558417823,2.08451949211e-07,2.37306676546e-07,2.02358117893e-07,4.21927019303e-07,3.42696133916e-05,4.88708049932e-08,4.67566756022e-08
Lake,2016,All Other Buses,1987,10,DSL,0.0615027257762,8.39239305766e-07,9.55410065637e-07,9.41716268946e-07,1.84813981794e-06,0.000154888486052,2.13490303623e-07,2.04254807591e-07
Lake,2016,All Other Buses,1987,15,DSL,0.0830073329824,6.84190827991e-07,7.7889917618e-07,1.10583426909e-06,1.9653706065e-06,0.000171644637753,2.21135212739e-07,2.11569001322e-07
Lake,2016,All Other Buses,1987,20,DSL,0.0880322932679,3.72895032639e-07,4.24512609409e-07,1.0142718681e-06,1.74454890085e-06,0.000149381675519,1.82349484638e-07,1.74461126651e-07
Lake,2016,All Other Buses,1987,25,DSL,0.0916821421844,2.79758637383e-07,3.18483913072e-07,9.08585113065e-07,1.65081339825e-06,0.000139544533365,1.65821294736e-07,1.58647938928e-07
Lake,2016,All Other Buses,1987,30,DSL,0.110240348263,2.94003956488e-07,3.34701124502e-07,9.3570410999e-07,1.84803845255e-06,0.000157497221994,1.80502697965e-07,1.72694231152e-07
Lake,2016,All Other Buses,1987,35,DSL,0.129987889849,3.05334815819e-07,3.4760044533e-07,9.43018016888e-07,2.05299994795e-06,0.00017563716905,1.94038319119e-07,1.85644307326e-07
Lake,2016,All Other Buses,1987,40,DSL,0.161359729719,3.38441332095e-07,3.85289693999e-07,1.00213761893e-06,2.4344922577e-06,0.000208085664028,2.21839083919e-07,2.12242423347e-07
Lake,2016,All Other Buses,1987,45,DSL,0.132132222595,2.52688680571e-07,2.87666827842e-07,7.07649383614e-07,1.93081330538e-06,0.000164353563401,1.69600111995e-07,1.62263286225e-07
Lake,2016,All Other Buses,1987,50,DSL,0.14787744478,2.65266231877e-07,3.01985412584e-07,6.93510483739e-07,2.13545231735e-06,0.00017952659973,1.80262636087e-07,1.72464554244e-07
Lake,2016,All Other Buses,1987,55,DSL,0.21670099485,3.77434723226e-07,4.29680701575e-07,9.12967675648e-07,3.15064071661e-06,0.000260057314455,2.55949991122e-07,2.44877707804e-07
Lake,2016,All Other Buses,1987,60,DSL,0.260402560308,4.53259506077e-07,5.16001444971e-07,1.05347930008e-06,3.82350770286e-06,0.000312237564055,3.05240511728e-07,2.92035942307e-07
Lake,2016,All Other Buses,1987,65,DSL,0.0409799591506,7.13301590495e-08,8.12039563342e-08,1.65787689001e-07,5.99913468474e-07,4.91373149525e-05,4.80361778583e-08,4.59581540677e-08
Lake,2016,All Other Buses,1987,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1987,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1987,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1987,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1987,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1988,5,DSL,0.0134702716308,2.27253183338e-07,2.58710450425e-07,2.20609721518e-07,4.59982545788e-07,3.73605464687e-05,5.32786862824e-08,5.0973873898e-08
Lake,2016,All Other Buses,1988,10,DSL,0.0670499377409,9.14934134888e-07,1.0415828666e-06,1.0266539638e-06,2.01483199591e-06,0.000168858586599,2.32745969963e-07,2.22677482329e-07
Lake,2016,All Other Buses,1988,15,DSL,0.0904941437679,7.45901126181e-07,8.49151653202e-07,1.20557451655e-06,2.14263636515e-06,0.000187126052214,2.41080408377e-07,2.30651376627e-07
Lake,2016,All Other Buses,1988,20,DSL,0.0959723281904,4.06528140124e-07,4.62801342085e-07,1.10575368408e-06,1.9018977405e-06,0.000162855091652,1.98796418171e-07,1.90196573119e-07
Lake,2016,All Other Buses,1988,25,DSL,0.099951373664,3.04991347656e-07,3.47209432972e-07,9.90534557525e-07,1.79970780445e-06,0.000152130692683,1.80777475272e-07,1.72957121714e-07
Lake,2016,All Other Buses,1988,30,DSL,0.120183429178,3.20521517206e-07,3.64889348828e-07,1.02009954074e-06,2.0147214879e-06,0.00017170261636,1.96783061367e-07,1.88270313239e-07
Lake,2016,All Other Buses,1988,35,DSL,0.141712091805,3.32874358533e-07,3.78952118364e-07,1.02807312234e-06,2.23816939745e-06,0.000191478688159,2.11539522063e-07,2.02388415978e-07
Lake,2016,All Other Buses,1988,40,DSL,0.175913501313,3.6896690284e-07,4.20040732648e-07,1.09252499151e-06,2.65407024241e-06,0.000226853861219,2.41847764917e-07,2.31385537662e-07
Lake,2016,All Other Buses,1988,45,DSL,0.144049831723,2.75479827703e-07,3.1361281396e-07,7.71475516164e-07,2.10496218307e-06,0.000179177362539,1.84897121332e-07,1.76898553709e-07
Lake,2016,All Other Buses,1988,50,DSL,0.161215187467,2.89191805853e-07,3.2922285731e-07,7.56061364281e-07,2.32805852294e-06,0.00019571892437,1.9652134721e-07,1.88019920721e-07
Lake,2016,All Other Buses,1988,55,DSL,0.236246248109,4.11477286156e-07,4.68435568107e-07,9.9531240346e-07,3.43481140431e-06,0.000283513072359,2.7903529076e-07,2.66964347599e-07
Lake,2016,All Other Buses,1988,60,DSL,0.283889457513,4.94141052764e-07,5.62541973918e-07,1.14849741357e-06,4.1683673397e-06,0.000340399697185,3.32771548725e-07,3.1837599883e-07
Lake,2016,All Other Buses,1988,65,DSL,0.0446761289844,7.7763752142e-08,8.85281123366e-08,1.80740838482e-07,6.5402240638e-07,5.35692339931e-05,5.23687803112e-08,5.01033300563e-08
Lake,2016,All Other Buses,1988,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1988,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1988,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1988,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1988,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1992,5,DSL,0.0204218177821,2.64550922821e-07,3.01171087675e-07,2.83972334808e-07,7.97682953196e-07,5.44911831397e-05,1.06331173056e-07,1.01731333578e-07
Lake,2016,All Other Buses,1992,10,DSL,0.101652115738,9.93948096192e-07,1.1315342469e-06,1.22817807306e-06,3.20762112187e-06,0.00024628398235,4.27714584042e-07,4.09211840466e-07
Lake,2016,All Other Buses,1992,15,DSL,0.137195074088,6.8020495518e-07,7.74361563395e-07,1.22666767486e-06,2.85541940238e-06,0.000272927484879,3.56642887706e-07,3.41214674253e-07
Lake,2016,All Other Buses,1992,20,DSL,0.145500361993,3.17430955691e-07,3.61370979801e-07,9.41904417736e-07,2.30410559974e-06,0.000237527752221,2.19938329669e-07,2.10423894885e-07
Lake,2016,All Other Buses,1992,25,DSL,0.151532856647,2.27480529278e-07,2.58969266472e-07,7.75388797994e-07,2.3210726683e-06,0.000221885979186,1.65554683291e-07,1.58392860975e-07
Lake,2016,All Other Buses,1992,30,DSL,0.182205983544,2.11007928166e-07,2.40216464022e-07,7.64869131835e-07,2.77236618599e-06,0.000250432062644,1.54935981156e-07,1.48233519195e-07
Lake,2016,All Other Buses,1992,35,DSL,0.214844852106,1.93925826499e-07,2.20769791585e-07,7.37223845119e-07,3.26474020093e-06,0.00027927590065,1.44695244043e-07,1.38435791836e-07
Lake,2016,All Other Buses,1992,40,DSL,0.266696438474,1.959875552e-07,2.2311691277e-07,7.51486847455e-07,4.06731844881e-06,0.000330871372773,1.49881269764e-07,1.43397472379e-07
Lake,2016,All Other Buses,1992,45,DSL,0.218389019584,1.42999289129e-07,1.62793805384e-07,5.14707328243e-07,3.35159028547e-06,0.000261334145226,1.12655726553e-07,1.0778228969e-07
Lake,2016,All Other Buses,1992,50,DSL,0.244412827921,1.61897295528e-07,1.84307747128e-07,5.00716855823e-07,3.80243958521e-06,0.000285460378924,1.30774955072e-07,1.25117688404e-07
Lake,2016,All Other Buses,1992,55,DSL,0.358164850925,2.71372536449e-07,3.08936975521e-07,6.78079964457e-07,5.67677160035e-06,0.000413510085067,2.21925536503e-07,2.12325136031e-07
Lake,2016,All Other Buses,1992,60,DSL,0.430395090053,3.60755608558e-07,4.10692799161e-07,8.06026977538e-07,6.89434450817e-06,0.000496480485251,2.95425675344e-07,2.82645691401e-07
Lake,2016,All Other Buses,1992,65,DSL,0.0677319500552,5.67726756779e-08,6.46313696501e-08,1.2684572907e-07,1.08173186722e-06,7.81319123e-05,4.64916016698e-08,4.44803955614e-08
Lake,2016,All Other Buses,1992,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1992,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1992,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1992,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1992,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1999,5,DSL,0.138013813107,7.92162005013e-07,9.01816142315e-07,8.50316799921e-07,5.49806295681e-06,0.000366021638895,1.85521196251e-07,1.77495631424e-07
Lake,2016,All Other Buses,1999,10,DSL,0.686980769938,2.97624331967e-06,3.38822646396e-06,3.67761334754e-06,2.21086620931e-05,0.00165430922325,7.46254546103e-07,7.13971904772e-07
Lake,2016,All Other Buses,1999,15,DSL,0.927185597111,2.03678186176e-06,2.31872110716e-06,3.67309066411e-06,1.96810970819e-05,0.00183327576241,6.2225228275e-07,5.95333924442e-07
Lake,2016,All Other Buses,1999,20,DSL,0.983314021375,9.50504120838e-07,1.08207658798e-06,2.82040555416e-06,1.58811437499e-05,0.00159549292457,3.83737156744e-07,3.67136857207e-07
Lake,2016,All Other Buses,1999,25,DSL,1.02408255622,6.81159718712e-07,7.75448488998e-07,2.32179702242e-06,1.59980899761e-05,0.00149042588305,2.88851350045e-07,2.76355768503e-07
Lake,2016,All Other Buses,1999,30,DSL,1.23137630686,6.31834739668e-07,7.19295755037e-07,2.29029730301e-06,1.91086493309e-05,0.00168217221061,2.70324381274e-07,2.586302682e-07
Lake,2016,All Other Buses,1999,35,DSL,1.45195484467,5.80684693536e-07,6.61065321124e-07,2.20751722604e-06,2.2502357723e-05,0.0018759185793,2.52456866554e-07,2.41535694258e-07
Lake,2016,All Other Buses,1999,40,DSL,1.80237591034,5.8685826165e-07,6.68093458481e-07,2.25022586e-06,2.80341617021e-05,0.00222248949551,2.61505179178e-07,2.50192580883e-07
Lake,2016,All Other Buses,1999,45,DSL,1.47590687838,4.28192056123e-07,4.87464061365e-07,1.54122157197e-06,2.31009755456e-05,0.00175540237197,1.9655595395e-07,1.88053030389e-07
Lake,2016,All Other Buses,1999,50,DSL,1.65177981283,4.84779583696e-07,5.51884653992e-07,1.49932899202e-06,2.62084731098e-05,0.0019174602149,2.28169457811e-07,2.18298948067e-07
Lake,2016,All Other Buses,1999,55,DSL,2.42053363342,8.12588405615e-07,9.25070044516e-07,2.03041886407e-06,3.91273845393e-05,0.0027775803408,3.87204333663e-07,3.70454045587e-07
Lake,2016,All Other Buses,1999,60,DSL,2.90867679629,1.08023394191e-06,1.22976411406e-06,2.41353891271e-06,4.75195564854e-05,0.0033348991602,5.15443619382e-07,4.93145756572e-07
Lake,2016,All Other Buses,1999,65,DSL,0.457743027386,1.69998108929e-07,1.9352990654e-07,3.79822402415e-07,7.45588191968e-06,0.000524818308987,8.11161704468e-08,7.76071208199e-08
Lake,2016,All Other Buses,1999,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1999,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1999,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1999,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,1999,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2002,5,DSL,0.344254850993,1.80494492831e-06,2.05479240615e-06,1.93745090747e-06,1.34130910051e-05,0.000912986330291,4.32460959798e-07,4.13752890108e-07
Lake,2016,All Other Buses,2002,10,DSL,1.71357096269,6.78138468049e-06,7.72009025099e-06,8.37945965337e-06,5.39363588568e-05,0.00412642736494,1.7395638007e-06,1.66431104071e-06
Lake,2016,All Other Buses,2002,15,DSL,2.3127260409,4.64081724219e-06,5.28321716524e-06,8.36915469749e-06,4.8014063919e-05,0.00457283267674,1.45050713812e-06,1.3877588414e-06
Lake,2016,All Other Buses,2002,20,DSL,2.45273001512,2.16572819877e-06,2.46551669627e-06,6.42630758425e-06,3.87436862864e-05,0.00397971888932,8.94514171258e-07,8.55817884171e-07
Lake,2016,All Other Buses,2002,25,DSL,2.55442103844,1.55202568651e-06,1.7668631019e-06,5.29022565291e-06,3.90289886535e-05,0.00371764484102,6.73329703577e-07,6.44201758654e-07
Lake,2016,All Other Buses,2002,30,DSL,3.07148434995,1.43963848516e-06,1.63891882821e-06,5.21845339115e-06,4.66175186559e-05,0.00419592742691,6.30142235736e-07,6.02882561555e-07
Lake,2016,All Other Buses,2002,35,DSL,3.62168457959,1.32309285969e-06,1.50624050522e-06,5.02983858868e-06,5.48968199052e-05,0.0046791988168,5.88491994572e-07,5.63034091387e-07
Lake,2016,All Other Buses,2002,40,DSL,4.49575760919,1.33715936425e-06,1.5222541499e-06,5.12715041604e-06,6.83922256104e-05,0.00554366822339,6.09584150299e-07,5.83213809793e-07
Lake,2016,All Other Buses,2002,45,DSL,3.68142935158,9.75637653855e-07,1.11068920212e-06,3.51168074475e-06,5.63572097544e-05,0.00437858913099,4.58183637325e-07,4.38362815992e-07
Lake,2016,All Other Buses,2002,50,DSL,4.12011812831,1.10457260687e-06,1.25747183143e-06,3.4162283004e-06,6.3938270203e-05,0.00478281822454,5.31876598013e-07,5.08867851821e-07
Lake,2016,All Other Buses,2002,55,DSL,6.03765975693,1.85148658007e-06,2.10777653386e-06,4.62631912142e-06,9.54552855687e-05,0.00692825946054,9.02596367192e-07,8.63550447887e-07
Lake,2016,All Other Buses,2002,60,DSL,7.25525999574,2.46131821837e-06,2.8020234329e-06,5.49925999001e-06,0.00011592885361,0.00831840804647,1.20152978131e-06,1.14955213483e-06
Lake,2016,All Other Buses,2002,65,DSL,1.14177163965,3.87341506652e-07,4.40958820388e-07,8.65427165858e-07,1.81893920636e-05,0.0013090809151,1.89086625331e-07,1.8090682162e-07
Lake,2016,All Other Buses,2002,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2002,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2002,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2002,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2002,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2004,5,DSL,0.192276914579,5.36756151481e-07,6.11056019891e-07,7.57694713889e-07,4.48118798491e-06,0.000505039647323,4.77886637602e-08,4.57213473199e-08
Lake,2016,All Other Buses,2004,10,DSL,0.957082047405,2.00718478807e-06,2.28502709172e-06,2.94785001444e-06,1.93167561031e-05,0.00228262938004,2.27675383803e-07,2.17826247482e-07
Lake,2016,All Other Buses,2004,15,DSL,1.29172857297,1.37658410105e-06,1.56713621169e-06,2.30810254892e-06,1.9589725071e-05,0.00252956887272,2.80446237701e-07,2.68314257599e-07
Lake,2016,All Other Buses,2004,20,DSL,1.36992509544,6.99422126376e-07,7.96238849966e-07,1.45800462725e-06,1.62182151012e-05,0.00220147417067,2.69941683066e-07,2.58264125348e-07
Lake,2016,All Other Buses,2004,25,DSL,1.42672265733,5.71136825646e-07,6.50195800326e-07,1.30486723165e-06,1.46651802408e-05,0.0020565018085,2.65547813948e-07,2.54060333063e-07
Lake,2016,All Other Buses,2004,30,DSL,1.71551840818,5.9887345083e-07,6.81771836751e-07,1.5038431953e-06,1.59020808218e-05,0.00232107495761,3.17101631386e-07,3.03383955179e-07
Lake,2016,All Other Buses,2004,35,DSL,2.02282214625,6.1594163519e-07,7.01202665392e-07,1.7293577355e-06,1.70744702673e-05,0.00258840777981,3.8663863246e-07,3.69912816368e-07
Lake,2016,All Other Buses,2004,40,DSL,2.51101879696,6.69254143487e-07,7.61894897872e-07,2.13317561577e-06,1.95558208664e-05,0.00306660916108,5.14783721884e-07,4.92514405947e-07
Lake,2016,All Other Buses,2004,45,DSL,2.05619143759,4.83583452866e-07,5.50522950093e-07,1.76918725934e-06,1.49997890138e-05,0.00242211853246,4.65641156042e-07,4.45497725751e-07
Lake,2016,All Other Buses,2004,50,DSL,2.30121260202,4.8433062003e-07,5.51373543033e-07,2.04256554599e-06,1.61026405548e-05,0.00264572726796,5.87920099861e-07,5.62486936587e-07
Lake,2016,All Other Buses,2004,55,DSL,3.37221853517,6.48738821758e-07,7.38539765736e-07,3.13980326829e-06,2.3197005099e-05,0.00383252804387,9.84970726515e-07,9.42361328889e-07
Lake,2016,All Other Buses,2004,60,DSL,4.05228569016,7.52984754163e-07,8.57215824445e-07,3.88584295712e-06,2.78939817802e-05,0.00460152110353,1.26927985224e-06,1.21437136769e-06
Lake,2016,All Other Buses,2004,65,DSL,0.637714551858,1.18498391222e-07,1.34901398156e-07,6.11521198026e-07,4.37660301999e-06,0.000724148589901,1.99748560206e-07,1.91107525912e-07
Lake,2016,All Other Buses,2004,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2004,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2004,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2004,85,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2004,90,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2006,5,DSL,0.219380458742,5.59958190502e-07,6.37469775148e-07,7.90080703761e-07,4.97257138715e-06,0.000576230535814,5.10837834693e-08,4.8873921609e-08
Lake,2016,All Other Buses,2006,10,DSL,1.09199327997,2.09394817149e-06,2.38380059921e-06,3.07384936347e-06,2.14349295353e-05,0.00260439107642,2.43374036693e-07,2.32845783597e-07
Lake,2016,All Other Buses,2006,15,DSL,1.47381191095,1.43608888351e-06,1.63487787694e-06,2.40675730314e-06,2.17378308382e-05,0.00288613940437,2.99783541832e-07,2.86815038514e-07
Lake,2016,All Other Buses,2006,20,DSL,1.56303109262,7.29655630778e-07,8.30657393313e-07,1.52032382022e-06,1.79966188953e-05,0.00251179614842,2.88554678078e-07,2.76071930435e-07
Lake,2016,All Other Buses,2006,25,DSL,1.62783489504,5.95825017627e-07,6.783014276e-07,1.36064090431e-06,1.62732864362e-05,0.00234638833861,2.83857843285e-07,2.71578278636e-07
Lake,2016,All Other Buses,2006,30,DSL,1.95733958074,6.24760597417e-07,7.11242382577e-07,1.5681216568e-06,1.76458190009e-05,0.00264825598065,3.38966394975e-07,3.24302858774e-07
Lake,2016,All Other Buses,2006,35,DSL,2.30796115784,6.42566578033e-07,7.31513136095e-07,1.80327531877e-06,1.89467664798e-05,0.00295327230203,4.13298105185e-07,3.95419012104e-07
Lake,2016,All Other Buses,2006,40,DSL,2.86497449157,6.98183594429e-07,7.94828875622e-07,2.22435350393e-06,2.17002088777e-05,0.00349888142325,5.5027904346e-07,5.26474215624e-07
Lake,2016,All Other Buses,2006,45,DSL,2.34603421751,5.04487027259e-07,5.74320078332e-07,1.84480726778e-06,1.66445866396e-05,0.00276354275781,4.97748003773e-07,4.76215645461e-07
Lake,2016,All Other Buses,2006,50,DSL,2.62559380776,5.05266491774e-07,5.75207439348e-07,2.12987050651e-06,1.78683710548e-05,0.00301867160196,6.28458314491e-07,6.01271485997e-07
Lake,2016,All Other Buses,2006,55,DSL,3.84756979715,6.76781469085e-07,7.70464185076e-07,3.27400723591e-06,2.57406661384e-05,0.00437276498974,1.05288634077e-06,1.00733894374e-06
Lake,2016,All Other Buses,2006,60,DSL,4.62349989133,7.85533578429e-07,8.94270183213e-07,4.05193474626e-06,3.09526884703e-05,0.00525015607211,1.35679912414e-06,1.29810459463e-06
Lake,2016,All Other Buses,2006,65,DSL,0.727607426193,1.23620650724e-07,1.40732700686e-07,6.37659323266e-07,4.85651818746e-06,0.000826225291776,2.1352160523e-07,2.04284755104e-07
Lake,2016,All Other Buses,2006,70,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2006,75,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2016,All Other Buses,2006,80,DSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
